uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1696441782","04 Oct 2023, 17:49","Pavement","","Brighten the Corners: Nicene Creedence Ed.","3b7c9589-d3e1-4a83-bc7b-a5b3f300840f","Harness Your Hopes - b-side",""
"1696441574","04 Oct 2023, 17:46","Jeff Rosenstock","14892f45-a103-44f2-bb18-ee4a20d7876e","POST-","","9/10","ae728f22-477e-4f21-8f0f-ef9d1d2427c7"
"1696441286","04 Oct 2023, 17:41","Snail Mail","86cd4d38-857c-42bd-a5da-9acedcab1e01","Habit","319eb086-f640-42ea-ac58-2dc241261fc6","Static Buzz","1437e389-ee21-44fc-9916-703ba8bf0e9d"
"1696441114","04 Oct 2023, 17:38","Shelly","79f4cd8c-5ca9-4132-98d0-ee59e8a28ddb","Shelly","7f28090f-23ea-41a8-9ef9-9fbea6adfbb4","Steeeam","54cb56c8-ca0d-4b0c-b46a-eaaa2d7d332c"
"1696440948","04 Oct 2023, 17:35","Alice Phoebe Lou","9c14317c-87b9-4f7c-a5a5-80add17a1709","Glow","c9407bec-ef7e-4b41-bc35-62118b99a127","Glow","9ef43482-46fd-430c-adb7-1a1969bf533c"
"1696440689","04 Oct 2023, 17:31","Mannequin Pussy","e160f589-dbe6-4b8f-88b5-f528ff4443b4","Patience","0f6e034d-aa7d-4bd1-946d-14732fe75928","In Love Again","8c148d8a-c34d-48cd-8298-35df1a4bef94"
"1696440568","04 Oct 2023, 17:29","Slow Pulp","00505f51-68a8-45fc-b6d6-51be64751378","Moveys","b064d95c-39b1-4bb1-a0de-7dd72c9d5641","New Horse","1d0ca2a2-d4a7-4d7d-baee-8cad8ffe2b4e"
"1696440454","04 Oct 2023, 17:27","Elvis Depressedly","531f2c87-9442-4c89-843c-56313dc58ed7","depressedelica","458887fa-02b1-486c-9b12-bbc62d4f7f6a","who can be loved in this world?","ad5dd6f3-d0f6-4e4e-9003-8e1ae21e5a62"
"1696440054","04 Oct 2023, 17:20","Japanese Breakfast","8c529495-91f5-4e2f-b71b-adcb66878d04","Jubilee","7aa0673a-53b0-4cb8-9a94-9834b3c43b22","Posing For Cars","6fcf618a-c733-4e7e-9fa5-b1649a6eaabe"
"1696439833","04 Oct 2023, 17:17","Slow Pulp","00505f51-68a8-45fc-b6d6-51be64751378","In Too Deep","e5cc548a-30bd-4019-bdbf-b604e8197d7c","In Too Deep","f8a27385-b4ef-4696-acc2-bd1fbcf382f5"
