uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1699389742","07 Nov 2023, 20:42","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Secure Yourself","00b8d0bb-cd1f-4086-8738-6dc0d5f687fe"
"1699389522","07 Nov 2023, 20:38","The World Is a Beautiful Place & I Am No Longer Afraid to Die","f650539c-890f-4f05-b2c8-258ec098e338","Illusory Walls","35e4d950-817c-48a7-acc7-4737f742e165","Queen Sophie for President","dac21c19-649d-4675-9c25-f38e1c0795b8"
"1699389457","07 Nov 2023, 20:37","LVL UP","f63e017a-bd02-4a4f-b64d-5316a99f8535","Space Brothers","236031db-9ceb-4d74-9612-f35b27c241dc","*_*","2e51e76f-e2eb-398c-992b-97d536b7f1fd"
"1699389335","07 Nov 2023, 20:35","Wet Leg","90744b3e-363a-458e-8da1-e3e392a489c4","Wet Leg","949c1b3a-db54-4302-90b3-ec8d0f70a45b","Being in Love","59008d81-df03-40d2-a81c-d11a4459a3a2"
"1699389135","07 Nov 2023, 20:32","Death Cab for Cutie","0039c7ae-e1a7-4a7d-9b49-0cbc716821a6","We Have the Facts and We're Voting Yes","6ad8e46b-7259-4038-ae3a-74bf1c02c78c","Company Calls","0149d612-e95a-3540-8d2c-07346202346b"
"1699388983","07 Nov 2023, 20:29","Jonatan Leandoer96","","Nectar","1e39b9a8-68f0-4228-a4be-153fa9d8b89e","Off With Their Heads",""
"1699388902","07 Nov 2023, 20:28","Pinegrove","871fe26f-544d-4275-a5dd-af5442d15b92","Everything So Far","5f26f199-53d4-481f-9285-c5a447486938","Problems","05bf1a3d-5a8b-467a-8295-12b1d28ceedd"
"1699388706","07 Nov 2023, 20:25","Field Medic","4a42d940-ad63-4b06-a871-f6e37eab4c6f","Fade Into the Dawn","462e1a49-1ed6-47fb-b6ab-e30a3d914ae9","Everyday'z 2moro","2b8ba9bc-d016-4142-b2d7-729a119d5c15"
"1699388476","07 Nov 2023, 20:21","Peach Pit","1888892a-06b7-4bbd-b0a1-3ffde01e4094","From 2 to 3","790b0838-2d47-4b9e-b2b7-07f8519eb00c","Up Granville","00b07045-0903-494d-8f6f-ffd6fafbeb81"
"1699388314","07 Nov 2023, 20:18","Petey","","Other Stuff","","Haircut",""
"1699388105","07 Nov 2023, 20:15","American Football","4ebb5ad3-9018-407d-8c24-c03011ab9ac6","American Football (LP2)","","Desire Gets in the Way","1efae236-3460-4970-baad-3c71e2cd0fe7"
"1699388005","07 Nov 2023, 20:13","Palmistry","","Tinkerbell","8086eba4-a35d-48de-b7ad-34ffd8794a5c","Brexia",""
"1699387820","07 Nov 2023, 20:10","Chappell Roan","56a55378-f155-48de-80a5-d80104221267","HOT TO GO!","","HOT TO GO!","e619cd9d-ee35-4e37-8ee1-51b992ab95d7"
"1699387674","07 Nov 2023, 20:07","Free Cake For Every Creature","16f0ea6f-908f-4dcf-b0e0-473ce60b584e","Talking Quietly Of Anything With You","0d5e20f3-c176-466b-a58b-ffd3cafebdbe","For You","a284e196-7a1c-48e7-9ceb-9b0c4968245a"
"1699387543","07 Nov 2023, 20:05","Moontype","b9e16954-0de4-46a8-a3fc-a33603a37df7","Bodies of Water","1f73a6a3-99fc-4d73-b529-c9f7afdcd81c","About You","4f037613-6804-4e0e-a141-28fe2808f25c"
"1699387311","07 Nov 2023, 20:01","The Mountain Goats","9639cd52-c351-4a17-9797-58880e95a7ef","The Sunset Tree","2d66c5e3-c1f0-440c-96b7-fd4578ecb8c7","This Year","39d4573a-b566-3d20-9568-0cfb56c2f67c"
"1699387129","07 Nov 2023, 19:58","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Secure Yourself","00b8d0bb-cd1f-4086-8738-6dc0d5f687fe"
"1699386692","07 Nov 2023, 19:51","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Secure Yourself","00b8d0bb-cd1f-4086-8738-6dc0d5f687fe"
"1699386452","07 Nov 2023, 19:47","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Closer to Fine","2628e7da-6171-4fae-b23a-e53e649f53a2"
"1699386045","07 Nov 2023, 19:40","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Prince of Darkness","1038a7ac-9bee-332b-a2e8-55c9fc2379cc"
"1699385489","07 Nov 2023, 19:31","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Prince of Darkness","1038a7ac-9bee-332b-a2e8-55c9fc2379cc"
"1699385167","07 Nov 2023, 19:26","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Prince of Darkness","1038a7ac-9bee-332b-a2e8-55c9fc2379cc"
"1699384845","07 Nov 2023, 19:20","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Prince of Darkness","1038a7ac-9bee-332b-a2e8-55c9fc2379cc"
"1699376534","07 Nov 2023, 17:02","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Prince of Darkness","1038a7ac-9bee-332b-a2e8-55c9fc2379cc"
"1699370528","07 Nov 2023, 15:22","Katy Kirby","dab7e7de-ae6b-4f1c-a4a0-49293df7ce22","Cool Dry Place","22c298cc-52bc-4a79-a307-c971d1fe4f04","Cool Dry Place","4866002b-b951-40eb-a365-9f315847a2a2"
"1699328133","07 Nov 2023, 03:35","公衆道徳","","公衆道徳","","White Room",""
"1699306641","06 Nov 2023, 21:37","Mexican Slum Rats","","Slumrat","","Away",""
"1699303485","06 Nov 2023, 20:44","fail better, heal faster","","fail better, heal faster","80bacc11-7bcf-4789-8714-6beb71dfed17","Cyber Corrupt","78cfc290-5d11-4aa5-95f4-6b532351f4e5"
"1699302091","06 Nov 2023, 20:21","Sarah Crean","","02:00 AM","","02:00 AM",""
"1699301310","06 Nov 2023, 20:08","Mim Jensen","","Emotional Affair","","Germaphobe",""
"1699301047","06 Nov 2023, 20:04","Gentle","","Luck Presser","","Sincere Apologies",""
"1699295220","06 Nov 2023, 18:27","people i love","","Xo Ghost","","Butterfly",""
"1699295129","06 Nov 2023, 18:25","The Sidekicks","97422a55-1966-46b6-b864-622ef3553c78","Happiness Hours","120be5a0-bc3a-417e-a542-f684a173358f","Other People's Pets","e1c61081-482f-4a35-9d5f-bc656e2ddd05"
"1699293476","06 Nov 2023, 17:57","Casiotone for the Painfully Alone","73d882c7-1146-4012-a61b-a3b2c11fce2f","Etiquette","4077694f-333b-4a2e-83cd-c265d4e0c196","Bobby Malone Moves Home","1662abe0-d50d-475b-99ef-4ea343c14cac"
"1699293329","06 Nov 2023, 17:55","Bad Bad Hats","c324b495-422e-4ea7-9aa6-6878e1771436","Walkman","12ea31df-ece0-48ad-8f29-f324efc68c94","Detroit Basketball","0252d032-d1ff-490e-b5fe-6233e054e21d"
"1699293127","06 Nov 2023, 17:52","Wilt","34f7017a-4a62-43b9-a5e8-6f651ebb910f","moved along","634b7c53-b31b-4db9-ab5d-7e6a99160eba","moved along","1d83501a-1a4f-455b-8439-4bd110a902fa"
"1699292921","06 Nov 2023, 17:48","GingerBee","","Our Skies Smile","77013ef5-e717-4756-b8d5-a11b2f65b6ba","Our Sky's Smile","b5837c89-ecf6-43b0-919b-a8e9c736144e"
"1699292712","06 Nov 2023, 17:45","Underscores","","Wallsocket","9d56a188-72d7-4e66-9619-d10043a1d6e4","You don't even know who I am","787ed8ac-72d1-49bf-ac5b-96ef1428280d"
"1699292407","06 Nov 2023, 17:40","Peach Pit","1888892a-06b7-4bbd-b0a1-3ffde01e4094","From 2 to 3","790b0838-2d47-4b9e-b2b7-07f8519eb00c","Up Granville","00b07045-0903-494d-8f6f-ffd6fafbeb81"
"1699291618","06 Nov 2023, 17:26","Defiance, Ohio","a78ef19a-5fba-46fd-b50e-ff95a45693aa","The Great Depression","daa85883-dec0-4c5d-b629-d1e7f9e8c4bf","Calling Old Friends","a6a5c8a1-4f4e-3fe5-abb1-be165d02c519"
"1699291115","06 Nov 2023, 17:18","American Football","4ebb5ad3-9018-407d-8c24-c03011ab9ac6","American Football (LP2)","","Desire Gets in the Way","1efae236-3460-4970-baad-3c71e2cd0fe7"
"1699291026","06 Nov 2023, 17:17","Peach Pit","1888892a-06b7-4bbd-b0a1-3ffde01e4094","From 2 to 3","790b0838-2d47-4b9e-b2b7-07f8519eb00c","Up Granville","00b07045-0903-494d-8f6f-ffd6fafbeb81"
"1699289790","06 Nov 2023, 16:56","Defiance, Ohio","a78ef19a-5fba-46fd-b50e-ff95a45693aa","The Great Depression","daa85883-dec0-4c5d-b629-d1e7f9e8c4bf","Calling Old Friends","a6a5c8a1-4f4e-3fe5-abb1-be165d02c519"
"1699289636","06 Nov 2023, 16:53","Petey","","Other Stuff","","Haircut",""
"1699289428","06 Nov 2023, 16:50","American Football","4ebb5ad3-9018-407d-8c24-c03011ab9ac6","American Football (LP2)","","Desire Gets in the Way","1efae236-3460-4970-baad-3c71e2cd0fe7"
"1699286931","06 Nov 2023, 16:08","Chappell Roan","56a55378-f155-48de-80a5-d80104221267","HOT TO GO!","","HOT TO GO!","e619cd9d-ee35-4e37-8ee1-51b992ab95d7"
"1699286783","06 Nov 2023, 16:06","Free Cake For Every Creature","16f0ea6f-908f-4dcf-b0e0-473ce60b584e","Talking Quietly Of Anything With You","0d5e20f3-c176-466b-a58b-ffd3cafebdbe","For You","a284e196-7a1c-48e7-9ceb-9b0c4968245a"
"1699286654","06 Nov 2023, 16:04","Moontype","b9e16954-0de4-46a8-a3fc-a33603a37df7","Bodies of Water","1f73a6a3-99fc-4d73-b529-c9f7afdcd81c","About You","4f037613-6804-4e0e-a141-28fe2808f25c"
"1699282647","06 Nov 2023, 14:57","The Mountain Goats","9639cd52-c351-4a17-9797-58880e95a7ef","The Sunset Tree","2d66c5e3-c1f0-440c-96b7-fd4578ecb8c7","This Year","39d4573a-b566-3d20-9568-0cfb56c2f67c"
"1699278835","06 Nov 2023, 13:53","Peach Pit","1888892a-06b7-4bbd-b0a1-3ffde01e4094","From 2 to 3","790b0838-2d47-4b9e-b2b7-07f8519eb00c","Up Granville","00b07045-0903-494d-8f6f-ffd6fafbeb81"
"1699278705","06 Nov 2023, 13:51","Defiance, Ohio","a78ef19a-5fba-46fd-b50e-ff95a45693aa","The Great Depression","daa85883-dec0-4c5d-b629-d1e7f9e8c4bf","Calling Old Friends","a6a5c8a1-4f4e-3fe5-abb1-be165d02c519"
"1699278552","06 Nov 2023, 13:49","Petey","","Other Stuff","","Haircut",""
"1699278319","06 Nov 2023, 13:45","American Football","4ebb5ad3-9018-407d-8c24-c03011ab9ac6","American Football (LP2)","","Desire Gets in the Way","1efae236-3460-4970-baad-3c71e2cd0fe7"
"1699278254","06 Nov 2023, 13:44","Palmistry","","Tinkerbell","8086eba4-a35d-48de-b7ad-34ffd8794a5c","Brexia",""
"1699278100","06 Nov 2023, 13:41","Free Cake For Every Creature","16f0ea6f-908f-4dcf-b0e0-473ce60b584e","Talking Quietly Of Anything With You","0d5e20f3-c176-466b-a58b-ffd3cafebdbe","For You","a284e196-7a1c-48e7-9ceb-9b0c4968245a"
"1699277970","06 Nov 2023, 13:39","Moontype","b9e16954-0de4-46a8-a3fc-a33603a37df7","Bodies of Water","1f73a6a3-99fc-4d73-b529-c9f7afdcd81c","About You","4f037613-6804-4e0e-a141-28fe2808f25c"
"1699277738","06 Nov 2023, 13:35","The Mountain Goats","9639cd52-c351-4a17-9797-58880e95a7ef","The Sunset Tree","2d66c5e3-c1f0-440c-96b7-fd4578ecb8c7","This Year","39d4573a-b566-3d20-9568-0cfb56c2f67c"
"1699277608","06 Nov 2023, 13:33","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Kyoto (Glitch Gum Remix)","0713222a-def3-47f8-9ff9-deb217d9d336","Kyoto (Glitch Gum Remix)","fcb97573-c1b0-4a4e-9665-4eda1c127307"
"1699277411","06 Nov 2023, 13:30","trapl archives","","imgonnagetmyrevenge","","imgonnagetmyrevenge",""
"1699277051","06 Nov 2023, 13:24","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","Constant Repeat","35402eb9-404c-404c-baad-545f9be32aeb"
